"","ensembl","Tissue.x","nCPMs","Tissue.y","nCPMs_4","nCPM_ratio","hgnc_symbol","seqnames","gene_type"
"26","ENSG00000197747","Heart",120.28564,"Placenta",30.28239,3.97213165803624,"S100A10","chr1","protein_coding"
"27","ENSG00000163191","Heart",283.87432,"Placenta",58.08957,4.88683803305826,"S100A11","chr1","protein_coding"
"28","ENSG00000163462","Heart",2.5379187,"Placenta",0.4223554,6.00896472496859,"TRIM46","chr1","protein_coding"
"29","ENSG00000188859","Heart",2.18292763,"Placenta",0.06534366,33.4068772701131,"FAM78B","chr1","protein_coding"
"30","ENSG00000203724","Heart",2.3586863,"Placenta",0.6883284,3.42668746487868,"C1orf53","chr1","protein_coding"
"31","ENSG00000162873","Heart",1.54369769,"Placenta",0.01529138,100.952150165649,"KLHDC8A","chr1","protein_coding"
"32","ENSG00000143494","Heart",12.947421,"Placenta",1.740469,7.43904143078676,"VASH2","chr1","protein_coding"
"33","ENSG00000176887","Heart",36.8175854,"Placenta",0.03673675,1002.20039606116,"SOX11","chr2","protein_coding"
"34","ENSG00000205795","Heart",1.71794442,"Placenta",0.05498617,31.2432093379117,"CYS1","chr2","protein_coding"
"35","ENSG00000143867","Heart",21.985238,"Placenta",3.596772,6.11249142286472,"OSR1","chr2","protein_coding"
"36","ENSG00000138080","Heart",180.1042,"Placenta",20.16643,8.93089158566985,"EMILIN1","chr2","protein_coding"
"37","ENSG00000152147","Heart",21.753158,"Placenta",3.964274,5.4872993138214,"GEMIN6","chr2","protein_coding"
"38","ENSG00000179915","Heart",13.30040447,"Placenta",0.05140974,258.713708141687,"NRXN1","chr2","protein_coding"
"39","ENSG00000143942","Heart",2.9874051,"Placenta",0.5694663,5.24597346673543,"CHAC2","chr2","protein_coding"
"40","ENSG00000163001","Heart",33.021401,"Placenta",7.511728,4.39597932725999,"CFAP36","chr2","protein_coding"
"41","ENSG00000115392","Heart",40.73163,"Placenta",12.55805,3.24346773583478,"FANCL","chr2","protein_coding"
"42","ENSG00000170264","Heart",13.509038,"Placenta",4.469935,3.02220009910659,"FAM161A","chr2","protein_coding"
"43","ENSG00000163170","Heart",35.918198,"Placenta",1.204609,29.8173083548272,"BOLA3","chr2","protein_coding"
"44","ENSG00000071082","Heart",1146.3432,"Placenta",167.7867,6.83214581370275,"RPL31","chr2","protein_coding"
"45","ENSG00000119147","Heart",21.9561941,"Placenta",0.6008247,36.5434278916962,"ECRG4","chr2","protein_coding"
"46","ENSG00000144057","Heart",17.355058,"Placenta",2.504536,6.92945040518483,"ST6GAL2","chr2","protein_coding"
"47","ENSG00000144061","Heart",15.24484,"Placenta",2.6679,5.71417219535965,"NPHP1","chr2","protein_coding"
"48","ENSG00000074047","Heart",12.999031,"Placenta",1.709717,7.6030307939852,"GLI2","chr2","protein_coding"
"49","ENSG00000144278","Heart",1.627149,"Placenta",0.1547191,10.5167946297516,"GALNT13","chr2","protein_coding"
"50","ENSG00000162989","Heart",3.57924514,"Placenta",0.05396299,66.3277765001531,"KCNJ3","chr2","protein_coding"
"51","ENSG00000178662","Heart",21.622955,"Placenta",2.238643,9.65895634096191,"CSRNP3","chr2","protein_coding"
"52","ENSG00000154479","Heart",1.1119659,"Placenta",0.2134528,5.20942287943751,"CCDC173","chr2","protein_coding"
"53","ENSG00000172878","Heart",12.24578,"Placenta",3.81087,3.21338172123426,"METAP1D","chr2","protein_coding"
"54","ENSG00000115252","Heart",13.126092,"Placenta",1.393017,9.42277947792453,"PDE1A","chr2","protein_coding"
"55","ENSG00000078018","Heart",13.14905,"Placenta",2.30699,5.69965626205575,"MAP2","chr2","protein_coding"
"56","ENSG00000168530","Heart",0.3805309,"Placenta",0.01212669,31.3796180161281,"MYL1","chr2","protein_coding"
"57","ENSG00000138376","Heart",49.986,"Placenta",12.0299,4.15514675932468,"BARD1","chr2","protein_coding"
"58","ENSG00000066248","Heart",1.71671286,"Placenta",0.04849772,35.3978055050835,"NGEF","chr2","protein_coding"
"59","ENSG00000144488","Heart",2.7663607,"Placenta",0.2553174,10.8349869613274,"ESPNL","chr2","protein_coding"
"60","ENSG00000134115","Heart",5.453586,"Placenta",1.790097,3.04653099804089,"CNTN6","chr3","protein_coding"
"61","ENSG00000163704","Heart",2.6349878,"Placenta",0.8206757,3.21075401647691,"PRRT3","chr3","protein_coding"
"62","ENSG00000151789","Heart",15.7339045,"Placenta",0.2527084,62.2611060811592,"ZNF385D","chr3","protein_coding"
"63","ENSG00000163808","Heart",12.164235,"Placenta",3.314547,3.66995399371317,"KIF15","chr3","protein_coding"
"64","ENSG00000114902","Heart",117.31409,"Placenta",27.34759,4.28974143608267,"SPCS1","chr3","protein_coding"
"65","ENSG00000163666","Heart",1.1108277,"Placenta",0.3554131,3.12545513938569,"HESX1","chr3","protein_coding"
"66","ENSG00000172986","Heart",11.667565,"Placenta",3.546804,3.28959959445179,"GXYLT2","chr3","protein_coding"
"67","ENSG00000121440","Heart",83.18825,"Placenta",24.03531,3.46108496208287,"PDZRN3","chr3","protein_coding"
"68","ENSG00000185008","Heart",32.134918,"Placenta",7.575011,4.24222723900995,"ROBO2","chr3","protein_coding"
"69","ENSG00000184220","Heart",30.2882,"Placenta",7.317134,4.13935292151271,"CMSS1","chr3","protein_coding"
"70","ENSG00000114391","Heart",1599.4881,"Placenta",123.8966,12.9098627403819,"RPL24","chr3","protein_coding"
"71","ENSG00000091986","Heart",148.68379,"Placenta",22.81099,6.51807703216739,"CCDC80","chr3","protein_coding"
"72","ENSG00000114107","Heart",33.715738,"Placenta",4.933403,6.83417470658691,"CEP70","chr3","protein_coding"
"73","ENSG00000152580","Heart",12.883887,"Placenta",3.315976,3.8853981452218,"IGSF10","chr3","protein_coding"
"74","ENSG00000114200","Heart",21.07301467,"Placenta",0.02363276,891.686568559914,"BCHE","chr3","protein_coding"
"75","ENSG00000171757","Heart",5.472368,"Placenta",1.02529,5.33738552019429,"LRRC34","chr3","protein_coding"
"76","ENSG00000182580","Heart",41.74586,"Placenta",12.14066,3.43851652216601,"EPHB3","chr3","protein_coding"
"77","ENSG00000145220","Heart",24.594461,"Placenta",7.146251,3.44158930325845,"LYAR","chr4","protein_coding"
"78","ENSG00000250317","Heart",25.204622,"Placenta",5.940405,4.24291306737504,"SMIM20","chr4","protein_coding"
"79","ENSG00000163281","Heart",22.848388,"Placenta",5.025262,4.54670582349736,"GNPDA2","chr4","protein_coding"
"80","ENSG00000188993","Heart",1.3800592,"Placenta",0.4562796,3.02459106214698,"LRRC66","chr4","protein_coding"
"81","ENSG00000109193","Heart",12.7099721,"Placenta",0.3832178,33.1664450346513,"SULT1E1","chr4","protein_coding"
"82","ENSG00000163322","Heart",20.833079,"Placenta",6.906656,3.0163771005824,"ABRAXAS1","chr4","protein_coding"
"83","ENSG00000152208","Heart",1.9879608,"Placenta",0.2281836,8.71211077395571,"GRID2","chr4","protein_coding"
"84","ENSG00000170522","Heart",19.047856,"Placenta",3.476166,5.47955880127704,"ELOVL6","chr4","protein_coding"
"85","ENSG00000174599","Heart",2.5480497,"Placenta",0.5223757,4.87781054899759,"TRAM1L1","chr4","protein_coding"
"86","ENSG00000164066","Heart",39.78793,"Placenta",13.06126,3.04625510861892,"INTU","chr4","protein_coding"
"87","ENSG00000170365","Heart",31.693267,"Placenta",7.024381,4.51189464238913,"SMAD1","chr4","protein_coding"
"88","ENSG00000171557","Heart",2.17139562,"Placenta",0.05182802,41.896171607559,"FGG","chr4","protein_coding"
"89","ENSG00000121207","Heart",2.31321659,"Placenta",0.01610901,143.597687877778,"LRAT","chr4","protein_coding"
"90","ENSG00000109576","Heart",10.680468,"Placenta",1.936357,5.51575355164363,"AADAT","chr4","protein_coding"
"91","ENSG00000174473","Heart",1.38355161,"Placenta",0.00966258,143.186561974131,"GALNTL6","chr4","protein_coding"
"92","ENSG00000150625","Heart",2.9809027,"Placenta",0.1957042,15.2316746395836,"GPM6A","chr4","protein_coding"
"93","ENSG00000145592","Heart",1026.7743,"Placenta",203.7246,5.04001136828837,"RPL37","chr5","protein_coding"
"94","ENSG00000164346","Heart",122.38202,"Placenta",40.04429,3.05616655957691,"NSA2","chr5","protein_coding"
"95","ENSG00000132840","Heart",1.46862425,"Placenta",0.09686252,15.161945507922,"BHMT2","chr5","protein_coding"
"96","ENSG00000186468","Heart",1073.3756,"Placenta",208.8225,5.14013384573023,"RPS23","chr5","protein_coding"
"97","ENSG00000168916","Heart",46.214579,"Placenta",9.078973,5.09028708423299,"ZNF608","chr5","protein_coding"
"98","ENSG00000164405","Heart",394.35271,"Placenta",20.18703,19.5349543741699,"UQCRQ","chr5","protein_coding"
"99","ENSG00000146013","Heart",2.80012712,"Placenta",0.02332311,120.058050577303,"GFRA3","chr5","protein_coding"
"100","ENSG00000112852","Heart",2.1664401,"Placenta",0.6212405,3.48728085177962,"PCDHB2","chr5","protein_coding"
"101","ENSG00000081818","Heart",1.276825,"Placenta",0.1776192,7.18855281411019,"PCDHB4","chr5","protein_coding"
"102","ENSG00000113212","Heart",2.435452,"Placenta",0.4946682,4.92340522394607,"PCDHB7","chr5","protein_coding"
"103","ENSG00000183775","Heart",1.4706268,"Placenta",0.1662261,8.84714734930315,"KCTD16","chr5","protein_coding"
"104","ENSG00000186314","Heart",11.73202,"Placenta",1.303814,8.99823134281424,"PRELID2","chr5","protein_coding"
"105","ENSG00000169302","Heart",1.4531772,"Placenta",0.4532474,3.20614569438236,"STK32A","chr5","protein_coding"
"106","ENSG00000145908","Heart",18.915503,"Placenta",3.219919,5.87452758904805,"ZNF300","chr5","protein_coding"
"107","ENSG00000145861","Heart",11.0188616,"Placenta",0.8561563,12.8701518636258,"C1QTNF2","chr5","protein_coding"
"108","ENSG00000170584","Heart",45.59606,"Placenta",11.83587,3.85236235274636,"NUDCD2","chr5","protein_coding"
"109","ENSG00000037241","Heart",43.15656,"Placenta",7.15708,6.02991163994255,"RPL26L1","chr5","protein_coding"
"110","ENSG00000137285","Heart",15.347464,"Placenta",1.590373,9.65022922295587,"TUBB2B","chr6","protein_coding"
"111","ENSG00000124787","Heart",10.110633,"Placenta",2.395479,4.22071452097889,"RPP40","chr6","protein_coding"
"112","ENSG00000197238","Heart",4.9591055,"Placenta",0.8609249,5.76020684266421,"HIST1H4J","chr6","protein_coding"
"113","ENSG00000204444","Heart",1.53673988,"Placenta",0.08880893,17.3038891471837,"APOM","chr6","protein_coding"
"114","ENSG00000135333","Heart",50.333694,"Placenta",1.135398,44.3313217039311,"EPHA7","chr6","protein_coding"
"115","ENSG00000112290","Heart",12.56688,"Placenta",2.07563,6.05448948030237,"WASF1","chr6","protein_coding"
"116","ENSG00000197498","Heart",47.82569,"Placenta",13.03917,3.66784772343638,"RPF2","chr6","protein_coding"
"117","ENSG00000203778","Heart",26.264978,"Placenta",3.746614,7.01032398854005,"FAM229B","chr6","protein_coding"
"118","ENSG00000188580","Heart",1.3544041,"Placenta",0.2705534,5.00605093116553,"NKAIN2","chr6","protein_coding"
"119","ENSG00000029639","Heart",16.91018,"Placenta",5.601921,3.01863949884334,"TFB1M","chr6","protein_coding"
"120","ENSG00000112110","Heart",60.73003,"Placenta",18.2314,3.33106782803295,"MRPL18","chr6","protein_coding"
"121","ENSG00000153303","Heart",1.07290597,"Placenta",0.07150926,15.0037347610645,"FRMD1","chr6","protein_coding"
"122","ENSG00000186340","Heart",113.113842,"Placenta",2.754776,41.0609944329412,"THBS2","chr6","protein_coding"
"123","ENSG00000008018","Heart",386.7215,"Placenta",122.3302,3.16129214208756,"PSMB1","chr6","protein_coding"
"124","ENSG00000106268","Heart",23.71782,"Placenta",2.398024,9.89056823451308,"NUDT1","chr7","protein_coding"
"125","ENSG00000187391","Heart",21.204363,"Placenta",5.932453,3.57429936655208,"MAGI2","chr7","protein_coding"
"126","ENSG00000153993","Heart",25.42368,"Placenta",1.766363,14.3932362713666,"SEMA3D","chr7","protein_coding"
"127","ENSG00000008277","Heart",13.871468,"Placenta",1.689008,8.21278999270578,"ADAM22","chr7","protein_coding"
"128","ENSG00000164692","Heart",2918.7303,"Placenta",679.0811,4.29805850877016,"COL1A2","chr7","protein_coding"
"129","ENSG00000106236","Heart",2.1617683,"Placenta",0.02909528,74.2996217943254,"NPTX2","chr7","protein_coding"
"130","ENSG00000173114","Heart",26.18519,"Placenta",2.67136,9.80219438787734,"LRRN3","chr7","protein_coding"
"131","ENSG00000106278","Heart",18.0655982,"Placenta",0.8786564,20.5604809798233,"PTPRZ1","chr7","protein_coding"
"132","ENSG00000128602","Heart",66.82141,"Placenta",2.904211,23.0084556528434,"SMO","chr7","protein_coding"
"133","ENSG00000159784","Heart",3.6360468,"Placenta",0.2136223,17.020914015063,"FAM131B","chr7","protein_coding"
"134","ENSG00000120907","Heart",1.35678041,"Placenta",0.07516461,18.0507875980465,"ADRA1A","chr8","protein_coding"
"135","ENSG00000214050","Heart",2.8614912,"Placenta",0.2074243,13.7953518464327,"FBXO16","chr8","protein_coding"
"136","ENSG00000172733","Heart",3.527807,"Placenta",0.494118,7.13960430504454,"PURG","chr8","protein_coding"
"137","ENSG00000172817","Heart",2.8953727,"Placenta",0.3430958,8.43896282029684,"CYP7B1","chr8","protein_coding"
"138","ENSG00000137571","Heart",3.049649,"Placenta",0.114114,26.7245824351088,"SLCO5A1","chr8","protein_coding"
"139","ENSG00000104313","Heart",10.5999393,"Placenta",0.2255223,47.001734639989,"EYA1","chr8","protein_coding"
"140","ENSG00000121005","Heart",28.075012,"Placenta",4.397102,6.38488986609817,"CRISPLD1","chr8","protein_coding"
"141","ENSG00000133739","Heart",15.291099,"Placenta",4.409141,3.46804490942794,"LRRCC1","chr8","protein_coding"
"142","ENSG00000180543","Heart",36.723976,"Placenta",7.902526,4.64711865547801,"TSPYL5","chr8","protein_coding"
"143","ENSG00000164919","Heart",824.14525,"Placenta",50.43211,16.3416769593816,"COX6C","chr8","protein_coding"
"144","ENSG00000147669","Heart",65.4008,"Placenta",15.10602,4.32945276121705,"POLR2K","chr8","protein_coding"
"145","ENSG00000104490","Heart",28.175995,"Placenta",8.870179,3.17648550271646,"NCALD","chr8","protein_coding"
"146","ENSG00000164758","Heart",18.799725,"Placenta",4.231008,4.4433205987793,"MED30","chr8","protein_coding"
"147","ENSG00000136982","Heart",8.05074,"Placenta",2.107143,3.8206899104617,"DSCC1","chr8","protein_coding"
"148","ENSG00000170961","Heart",16.4106,"Placenta",1.819692,9.0183393673215,"HAS2","chr8","protein_coding"
"149","ENSG00000147804","Heart",2.8682182,"Placenta",0.6435988,4.4565313049061,"SLC39A4","chr8","protein_coding"
"150","ENSG00000178031","Heart",57.753108,"Placenta",5.529035,10.4454227546036,"ADAMTSL1","chr9","protein_coding"
"151","ENSG00000137154","Heart",1455.5138,"Placenta",336.5903,4.32428920263002,"RPS6","chr9","protein_coding"
"152","ENSG00000107105","Heart",4.16638163,"Placenta",0.00565732,736.458540439643,"ELAVL2","chr9","protein_coding"
"153","ENSG00000137077","Heart",38.9264061,"Placenta",0.0419656,927.57892416646,"CCL21","chr9","protein_coding"
"154","ENSG00000137124","Heart",17.777586,"Placenta",4.476752,3.97109020111009,"ALDH1B1","chr9","protein_coding"
"155","ENSG00000135069","Heart",10.837911,"Placenta",1.194279,9.07485688017624,"PSAT1","chr9","protein_coding"
"156","ENSG00000106809","Heart",188.583151,"Placenta",1.616592,116.65475951879,"OGN","chr9","protein_coding"
"157","ENSG00000198785","Heart",1.0421667,"Placenta",0.2539167,4.10436454159967,"GRIN3A","chr9","protein_coding"
"158","ENSG00000106701","Heart",13.966336,"Placenta",4.522391,3.08826370829059,"FSD1L","chr9","protein_coding"
"159","ENSG00000136810","Heart",292.18722,"Placenta",36.50205,8.00467973716545,"TXN","chr9","protein_coding"
"160","ENSG00000165185","Heart",13.76986,"Placenta",4.48598,3.06953218694689,"KIAA1958","chr9","protein_coding"
"161","ENSG00000157657","Heart",48.889297,"Placenta",8.564821,5.70815163562671,"ZNF618","chr9","protein_coding"
"162","ENSG00000171159","Heart",23.551874,"Placenta",4.537434,5.1905711465996,"C9orf16","chr9","protein_coding"
"163","ENSG00000095777","Heart",2.10272211,"Placenta",0.04929625,42.6548086314882,"MYO3A","chr10","protein_coding"
"164","ENSG00000107562","Heart",176.85197,"Placenta",5.06453,34.9197200924864,"CXCL12","chr10","protein_coding"
"165","ENSG00000204147","Heart",5.311884,"Placenta",1.372816,3.86933427349332,"ASAH2B","chr10","protein_coding"
"166","ENSG00000150275","Heart",1.65165401,"Placenta",0.03928138,42.0467409749861,"PCDH15","chr10","protein_coding"
"167","ENSG00000197467","Heart",15.413046,"Placenta",1.047967,14.7075680818194,"COL13A1","chr10","protein_coding"
"168","ENSG00000107736","Heart",10.572841,"Placenta",2.111129,5.00814540466262,"CDH23","chr10","protein_coding"
"169","ENSG00000165655","Heart",20.700106,"Placenta",1.692734,12.2288002722223,"ZNF503","chr10","protein_coding"
"170","ENSG00000138326","Heart",1224.1882,"Placenta",273.1633,4.48152515363521,"RPS24","chr10","protein_coding"
"171","ENSG00000148680","Heart",1.516379,"Placenta",0.4972675,3.04942309722634,"HTR7","chr10","protein_coding"
"172","ENSG00000187122","Heart",2.767062,"Placenta",0.452722,6.11205552193178,"SLIT1","chr10","protein_coding"
"173","ENSG00000107821","Heart",10.827427,"Placenta",1.807568,5.99005237977216,"KAZALD1","chr10","protein_coding"
"174","ENSG00000156395","Heart",3.25473079,"Placenta",0.01207626,269.514799283884,"SORCS3","chr10","protein_coding"
"175","ENSG00000148700","Heart",303.33578,"Placenta",64.44404,4.70696405749857,"ADD3","chr10","protein_coding"
"176","ENSG00000165863","Heart",1.74623738,"Placenta",0.07784243,22.4329762059072,"C10orf82","chr10","protein_coding"
"177","ENSG00000170430","Heart",24.608962,"Placenta",5.066341,4.857344185873,"MGMT","chr10","protein_coding"
"178","ENSG00000182272","Heart",15.51391634,"Placenta",0.08180658,189.641424198396,"B4GALNT4","chr11","protein_coding"
"179","ENSG00000177600","Heart",1048.8167,"Placenta",120.9373,8.6724004918251,"RPLP2","chr11","protein_coding"
"180","ENSG00000149050","Heart",4.9303759,"Placenta",0.7252898,6.79780123751913,"ZNF214","chr11","protein_coding"
"181","ENSG00000166441","Heart",1299.8266,"Placenta",240.2557,5.41018007064973,"RPL27A","chr11","protein_coding"
"182","ENSG00000110700","Heart",1033.6046,"Placenta",152.8018,6.76434832573962,"RPS13","chr11","protein_coding"
"183","ENSG00000204922","Heart",19.273334,"Placenta",4.196606,4.59260030605685,"UQCC3","chr11","protein_coding"
"184","ENSG00000168060","Heart",5.5005541,"Placenta",0.5343342,10.2942205458681,"NAALADL1","chr11","protein_coding"
"185","ENSG00000172803","Heart",2.1573404,"Placenta",0.6381148,3.38080295269754,"SNX32","chr11","protein_coding"
"186","ENSG00000174807","Heart",35.408882,"Placenta",9.251469,3.82737941401522,"CD248","chr11","protein_coding"
"187","ENSG00000179240","Heart",6.555892,"Placenta",1.427873,4.59136912036295,"GVQW3","chr11","protein_coding"
"188","ENSG00000149260","Heart",15.209256,"Placenta",1.575282,9.65494178185239,"CAPN5","chr11","protein_coding"
"189","ENSG00000149256","Heart",17.616047,"Placenta",1.955404,9.00890404233601,"TENM4","chr11","protein_coding"
"190","ENSG00000150672","Heart",21.062613,"Placenta",4.509571,4.67064672005386,"DLG2","chr11","protein_coding"
"191","ENSG00000165323","Heart",12.170768,"Placenta",2.021877,6.0195392696984,"FAT3","chr11","protein_coding"
"192","ENSG00000150316","Heart",137.81676,"Placenta",34.84472,3.95516910453004,"CWC15","chr11","protein_coding"
"193","ENSG00000186280","Heart",1.4673002,"Placenta",0.4880846,3.00624154091319,"KDM4D","chr11","protein_coding"
"194","ENSG00000177103","Heart",2.1424835,"Placenta",0.4862984,4.40569720155361,"DSCAML1","chr11","protein_coding"
"195","ENSG00000184232","Heart",29.450407,"Placenta",2.834344,10.390554922056,"OAF","chr11","protein_coding"
"196","ENSG00000183150","Heart",1.5846117,"Placenta",0.1379367,11.4879629569215,"GPR19","chr12","protein_coding"
"197","ENSG00000182993","Heart",2.7442201,"Placenta",0.6191068,4.43254717925889,"C12orf60","chr12","protein_coding"
"198","ENSG00000008394","Heart",11.711993,"Placenta",0.7231008,16.1969022852692,"MGST1","chr12","protein_coding"
"199","ENSG00000139168","Heart",148.16375,"Placenta",18.28093,8.10482562976829,"ZCRB1","chr12","protein_coding"
"200","ENSG00000184613","Heart",17.7333499,"Placenta",0.3869515,45.8283529072765,"NELL2","chr12","protein_coding"
"201","ENSG00000172602","Heart",1.1279561,"Placenta",0.2039045,5.53178620383562,"RND1","chr12","protein_coding"
"202","ENSG00000123352","Heart",39.07423,"Placenta",10.00807,3.9042722522924,"SPATS2","chr12","protein_coding"
"203","ENSG00000110881","Heart",7.2201534,"Placenta",0.5080652,14.2110764523923,"ASIC1","chr12","protein_coding"
"204","ENSG00000133640","Heart",1.23716574,"Placenta",0.08162203,15.1572527661956,"LRRIQ1","chr12","protein_coding"
"205","ENSG00000196091","Heart",0.05565762,"Placenta",0.01767168,3.14953756518905,"MYBPC1","chr12","protein_coding"
"206","ENSG00000075035","Heart",1.781942,"Placenta",0.2170885,8.20836663388434,"WSCD2","chr12","protein_coding"
"207","ENSG00000183160","Heart",11.40566,"Placenta",2.23858,5.09504239294553,"TMEM119","chr12","protein_coding"
"208","ENSG00000135144","Heart",2.5628671,"Placenta",0.3655591,7.01081466717693,"DTX1","chr12","protein_coding"
"209","ENSG00000151952","Heart",1.004239356,"Placenta",0.002557931,392.598297608497,"TMEM132D","chr12","protein_coding"
"210","ENSG00000182870","Heart",2.04025183,"Placenta",0.04104775,49.7043523701055,"GALNT9","chr12","protein_coding"
"211","ENSG00000172458","Heart",4.7928858,"Placenta",0.3017904,15.881505177103,"IL17D","chr13","protein_coding"
"212","ENSG00000120658","Heart",16.620011,"Placenta",5.257011,3.16149443096086,"ENOX1","chr13","protein_coding"
"213","ENSG00000123179","Heart",18.94087,"Placenta",4.33394,4.37035814985902,"EBPL","chr13","protein_coding"
"214","ENSG00000188243","Heart",230.20521,"Placenta",11.22943,20.5001687529999,"COMMD6","chr13","protein_coding"
"215","ENSG00000102466","Heart",4.287463,"Placenta",0.285117,15.0375565118881,"FGF14","chr13","protein_coding"
"216","ENSG00000166091","Heart",2.4309791,"Placenta",0.2610876,9.31097110701542,"CMTM5","chr14","protein_coding"
"217","ENSG00000139910","Heart",26.44904725,"Placenta",0.01108901,2385.1585714144,"NOVA1","chr14","protein_coding"
"218","ENSG00000183032","Heart",1.2936174,"Placenta",0.2174266,5.94967405092109,"SLC25A21","chr14","protein_coding"
"219","ENSG00000126785","Heart",28.82347,"Placenta",7.469294,3.85892830031861,"RHOJ","chr14","protein_coding"
"220","ENSG00000100678","Heart",2.558828,"Placenta",0.2702011,9.47008727943743,"SLC8A3","chr14","protein_coding"
"221","ENSG00000119705","Heart",156.85703,"Placenta",11.80866,13.283220111342,"SLIRP","chr14","protein_coding"
"222","ENSG00000042317","Heart",16.03273,"Placenta",4.18647,3.8296536222641,"SPATA7","chr14","protein_coding"
"223","ENSG00000227051","Heart",12.579736,"Placenta",2.342766,5.36960840305861,"C14orf132","chr14","protein_coding"
"224","ENSG00000273173","Heart",1.7342414,"Placenta",0.4330349,4.00485365036398,"SNURF","chr15","protein_coding"
"225","ENSG00000034053","Heart",2.1032754,"Placenta",0.3647649,5.7661123644298,"APBA2","chr15","protein_coding"
"226","ENSG00000166922","Heart",3.28190773,"Placenta",0.08445532,38.8596920833406,"SCG5","chr15","protein_coding"
"227","ENSG00000137825","Heart",2.1690135,"Placenta",0.2655647,8.16755201274868,"ITPKA","chr15","protein_coding"
"228","ENSG00000185634","Heart",2.5750675,"Placenta",0.5782854,4.45293534991546,"SHC4","chr15","protein_coding"
"229","ENSG00000255302","Heart",297.70474,"Placenta",71.64485,4.15528457383887,"EID1","chr15","protein_coding"
"230","ENSG00000261652","Heart",3.35429147,"Placenta",0.06560111,51.1316267361939,"C15orf65","chr15","protein_coding"
"231","ENSG00000138587","Heart",11.0660201,"Placenta",0.9156789,12.0850443315883,"MNS1","chr15","protein_coding"
"232","ENSG00000205502","Heart",2.572565,"Placenta",0.8193809,3.13964482208458,"C2CD4B","chr15","protein_coding"
"233","ENSG00000075131","Heart",10.59939,"Placenta",2.594975,4.08458270310889,"TIPIN","chr15","protein_coding"
"234","ENSG00000183496","Heart",14.693273,"Placenta",3.004355,4.8906580613809,"MEX3B","chr15","protein_coding"
"235","ENSG00000005513","Heart",11.6096525,"Placenta",0.6967141,16.6634384175661,"SOX8","chr16","protein_coding"
"236","ENSG00000183971","Heart",1.9017846,"Placenta",0.3696705,5.14453979963238,"NPW","chr16","protein_coding"
