"","ensembl","Tissue.x","nCPMs","Tissue.y","nCPMs_4","nCPM_ratio","hgnc_symbol","seqnames","gene_type","description"
"14","ENSG00000177301","Male_Heart",1.72617577,"Male_Placenta",0.08216165,21.0095071118947,"KCNA2","chr1","protein_coding","potassium voltage-gated channel subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:6220]"
"15","ENSG00000159164","Male_Heart",13.47992,"Male_Placenta",1.030042,13.0867673357009,"SV2A","chr1","protein_coding","synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566]"
"16","ENSG00000143147","Male_Heart",37.951511,"Male_Placenta",6.553093,5.7913890433113,"GPR161","chr1","protein_coding","G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]"
"17","ENSG00000152092","Male_Heart",15.3888609,"Male_Placenta",0.9021515,17.0579563410358,"ASTN1","chr1","protein_coding","astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773]"
"18","ENSG00000116857","Male_Heart",57.7666,"Male_Placenta",9.49684,6.08271804094836,"TMEM9","chr1","protein_coding","transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]"
"19","ENSG00000163395","Male_Heart",1.23500809,"Male_Placenta",0.07322576,16.8657599456803,"IGFN1","chr1","protein_coding","immunoglobulin like and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24607]"
"20","ENSG00000122176","Male_Heart",105.41756,"Male_Placenta",20.95723,5.03012850457813,"FMOD","chr1","protein_coding","fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]"
"21","ENSG00000162873","Male_Heart",1.88360242,"Male_Placenta",0.01131464,166.474799021445,"KLHDC8A","chr1","protein_coding","kelch domain containing 8A [Source:HGNC Symbol;Acc:HGNC:25573]"
"22","ENSG00000205795","Male_Heart",1.50367798,"Male_Placenta",0.04517897,33.2826972372323,"CYS1","chr2","protein_coding","cystin 1 [Source:HGNC Symbol;Acc:HGNC:18525]"
"23","ENSG00000162975","Male_Heart",1.55077289,"Male_Placenta",0.03090368,50.1808486885704,"KCNF1","chr2","protein_coding","potassium voltage-gated channel modifier subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:6246]"
"24","ENSG00000119866","Male_Heart",26.853739,"Male_Placenta",1.226014,21.9032890325885,"BCL11A","chr2","protein_coding","BAF chromatin remodeling complex subunit BCL11A [Source:HGNC Symbol;Acc:HGNC:13221]"
"25","ENSG00000162951","Male_Heart",3.6631526,"Male_Placenta",0.1600888,22.8820042376481,"LRRTM1","chr2","protein_coding","leucine rich repeat transmembrane neuronal 1 [Source:HGNC Symbol;Acc:HGNC:19408]"
"26","ENSG00000144057","Male_Heart",19.0044,"Male_Placenta",2.641511,7.19451859182112,"ST6GAL2","chr2","protein_coding","ST6 beta-galactoside alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10861]"
"27","ENSG00000163075","Male_Heart",3.9830546,"Male_Placenta",0.7260894,5.48562559927194,"CFAP221","chr2","protein_coding","cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720]"
"28","ENSG00000074047","Male_Heart",17.589395,"Male_Placenta",1.797864,9.78349585953109,"GLI2","chr2","protein_coding","GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]"
"29","ENSG00000144278","Male_Heart",1.4790364,"Male_Placenta",0.1654035,8.94198974024129,"GALNT13","chr2","protein_coding","polypeptide N-acetylgalactosaminyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:23242]"
"30","ENSG00000162989","Male_Heart",3.44374886,"Male_Placenta",0.09153699,37.6213906531119,"KCNJ3","chr2","protein_coding","potassium inwardly rectifying channel subfamily J member 3 [Source:HGNC Symbol;Acc:HGNC:6264]"
"31","ENSG00000178662","Male_Heart",10.16127,"Male_Placenta",2.304624,4.40907931185304,"CSRNP3","chr2","protein_coding","cysteine and serine rich nuclear protein 3 [Source:HGNC Symbol;Acc:HGNC:30729]"
"32","ENSG00000163092","Male_Heart",14.366471,"Male_Placenta",0.105501,136.173789821897,"XIRP2","chr2","protein_coding","xin actin binding repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14303]"
"33","ENSG00000168530","Male_Heart",0.4171921,"Male_Placenta",0.01402166,29.7534029494368,"MYL1","chr2","protein_coding","myosin light chain 1 [Source:HGNC Symbol;Acc:HGNC:7582]"
"34","ENSG00000135929","Male_Heart",12.498268,"Male_Placenta",3.010952,4.15093565091705,"CYP27A1","chr2","protein_coding","cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]"
"35","ENSG00000135916","Male_Heart",209.53365,"Male_Placenta",51.28203,4.08590787065177,"ITM2C","chr2","protein_coding","integral membrane protein 2C [Source:HGNC Symbol;Acc:HGNC:6175]"
"36","ENSG00000066248","Male_Heart",1.9715794,"Male_Placenta",0.0566841,34.7818771048671,"NGEF","chr2","protein_coding","neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]"
"37","ENSG00000144485","Male_Heart",5.971388,"Male_Placenta",0.465077,12.83956850156,"HES6","chr2","protein_coding","hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]"
"38","ENSG00000163704","Male_Heart",2.3260815,"Male_Placenta",0.5875927,3.95866303308397,"PRRT3","chr3","protein_coding","proline rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:26591]"
"39","ENSG00000163491","Male_Heart",4.59743,"Male_Placenta",1.38981,3.30795576373749,"NEK10","chr3","protein_coding","NIMA related kinase 10 [Source:HGNC Symbol;Acc:HGNC:18592]"
"40","ENSG00000114779","Male_Heart",23.838402,"Male_Placenta",6.026551,3.955562974577,"ABHD14B","chr3","protein_coding","abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235]"
"41","ENSG00000248487","Male_Heart",2.8377081,"Male_Placenta",0.5918142,4.79493074008701,"ABHD14A","chr3","protein_coding","abhydrolase domain containing 14A [Source:HGNC Symbol;Acc:HGNC:24538]"
"42","ENSG00000056736","Male_Heart",3.978536,"Male_Placenta",1.25609,3.16739724064358,"IL17RB","chr3","protein_coding","interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]"
"43","ENSG00000185008","Male_Heart",23.717442,"Male_Placenta",7.155261,3.31468579552863,"ROBO2","chr3","protein_coding","roundabout guidance receptor 2 [Source:HGNC Symbol;Acc:HGNC:10250]"
"44","ENSG00000144834","Male_Heart",1.3116172,"Male_Placenta",0.2403384,5.45737676542741,"TAGLN3","chr3","protein_coding","transgelin 3 [Source:HGNC Symbol;Acc:HGNC:29868]"
"45","ENSG00000185565","Male_Heart",14.43159,"Male_Placenta",0.4331333,33.3190498167654,"LSAMP","chr3","protein_coding","limbic system associated membrane protein [Source:HGNC Symbol;Acc:HGNC:6705]"
"46","ENSG00000144908","Male_Heart",3.04549418,"Male_Placenta",0.09479089,32.1285534928515,"ALDH1L1","chr3","protein_coding","aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]"
"47","ENSG00000114107","Male_Heart",22.39932,"Male_Placenta",4.88598,4.5844068129628,"CEP70","chr3","protein_coding","centrosomal protein 70 [Source:HGNC Symbol;Acc:HGNC:29972]"
"48","ENSG00000114200","Male_Heart",13.95145193,"Male_Placenta",0.03809902,366.189259723741,"BCHE","chr3","protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"49","ENSG00000127418","Male_Heart",35.586915,"Male_Placenta",2.427121,14.662192367006,"FGFRL1","chr4","protein_coding","fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]"
"50","ENSG00000154277","Male_Heart",16.0929092,"Male_Placenta",0.3942614,40.8178665220587,"UCHL1","chr4","protein_coding","ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]"
"51","ENSG00000109132","Male_Heart",1.4835908,"Male_Placenta",0.00820217,180.877840864064,"PHOX2B","chr4","protein_coding","paired like homeobox 2B [Source:HGNC Symbol;Acc:HGNC:9143]"
"52","ENSG00000151834","Male_Heart",1.0635312,"Male_Placenta",0.1940874,5.47965092015247,"GABRA2","chr4","protein_coding","gamma-aminobutyric acid type A receptor subunit alpha2 [Source:HGNC Symbol;Acc:HGNC:4076]"
"53","ENSG00000188993","Male_Heart",1.592156,"Male_Placenta",0.382525,4.16222730540488,"LRRC66","chr4","protein_coding","leucine rich repeat containing 66 [Source:HGNC Symbol;Acc:HGNC:34299]"
"54","ENSG00000109193","Male_Heart",10.0242756,"Male_Placenta",0.2427504,41.2945791232476,"SULT1E1","chr4","protein_coding","sulfotransferase family 1E member 1 [Source:HGNC Symbol;Acc:HGNC:11377]"
"55","ENSG00000152208","Male_Heart",1.2259355,"Male_Placenta",0.2952245,4.15255339580557,"GRID2","chr4","protein_coding","glutamate ionotropic receptor delta type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4576]"
"56","ENSG00000170522","Male_Heart",19.38315,"Male_Placenta",3.19551,6.06574537397786,"ELOVL6","chr4","protein_coding","ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]"
"57","ENSG00000138653","Male_Heart",1.384145132,"Male_Placenta",0.006247175,221.563367762229,"NDST4","chr4","protein_coding","N-deacetylase and N-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:20779]"
"58","ENSG00000164161","Male_Heart",16.8624974,"Male_Placenta",0.3515433,47.9670566897449,"HHIP","chr4","protein_coding","hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]"
"59","ENSG00000121210","Male_Heart",40.48133,"Male_Placenta",10.67254,3.79303614697157,"TMEM131L","chr4","protein_coding","transmembrane 131 like [Source:HGNC Symbol;Acc:HGNC:29146]"
"60","ENSG00000145423","Male_Heart",22.87385,"Male_Placenta",0.006660041,3434.49086874991,"SFRP2","chr4","protein_coding","secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]"
"61","ENSG00000121207","Male_Heart",1.60226648,"Male_Placenta",0.02607304,61.4529981927692,"LRAT","chr4","protein_coding","lecithin retinol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6685]"
"62","ENSG00000150627","Male_Heart",1.0616145,"Male_Placenta",0.3476759,3.05346013341736,"WDR17","chr4","protein_coding","WD repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:16661]"
"63","ENSG00000164237","Male_Heart",21.572173,"Male_Placenta",1.344145,16.0489924822099,"CMBL","chr5","protein_coding","carboxymethylenebutenolidase homolog [Source:HGNC Symbol;Acc:HGNC:25090]"
"64","ENSG00000040731","Male_Heart",2.76798287,"Male_Placenta",0.01211365,228.501142925543,"CDH10","chr5","protein_coding","cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]"
"65","ENSG00000151388","Male_Heart",46.632784,"Male_Placenta",8.270478,5.63846297638419,"ADAMTS12","chr5","protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:HGNC Symbol;Acc:HGNC:14605]"
"66","ENSG00000164176","Male_Heart",20.603807,"Male_Placenta",4.822009,4.2728678026109,"EDIL3","chr5","protein_coding","EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]"
"67","ENSG00000168916","Male_Heart",48.270998,"Male_Placenta",8.181441,5.90006063723982,"ZNF608","chr5","protein_coding","zinc finger protein 608 [Source:HGNC Symbol;Acc:HGNC:29238]"
"68","ENSG00000112981","Male_Heart",1.33939169,"Male_Placenta",0.03529142,37.9523320399123,"NME5","chr5","protein_coding","NME/NM23 family member 5 [Source:HGNC Symbol;Acc:HGNC:7853]"
"69","ENSG00000081818","Male_Heart",1.0690571,"Male_Placenta",0.1955056,5.46816612925666,"PCDHB4","chr5","protein_coding","protocadherin beta 4 [Source:HGNC Symbol;Acc:HGNC:8689]"
"70","ENSG00000113209","Male_Heart",2.7782874,"Male_Placenta",0.6787005,4.09353963935491,"PCDHB5","chr5","protein_coding","protocadherin beta 5 [Source:HGNC Symbol;Acc:HGNC:8690]"
"71","ENSG00000113212","Male_Heart",1.9415001,"Male_Placenta",0.5737615,3.383810346285,"PCDHB7","chr5","protein_coding","protocadherin beta 7 [Source:HGNC Symbol;Acc:HGNC:8692]"
"72","ENSG00000113248","Male_Heart",6.624721,"Male_Placenta",2.135272,3.10251855501313,"PCDHB15","chr5","protein_coding","protocadherin beta 15 [Source:HGNC Symbol;Acc:HGNC:8686]"
"73","ENSG00000183775","Male_Heart",1.116766,"Male_Placenta",0.168967,6.60937342794747,"KCTD16","chr5","protein_coding","potassium channel tetramerization domain containing 16 [Source:HGNC Symbol;Acc:HGNC:29244]"
"74","ENSG00000145908","Male_Heart",16.535088,"Male_Placenta",2.550998,6.48181143223162,"ZNF300","chr5","protein_coding","zinc finger protein 300 [Source:HGNC Symbol;Acc:HGNC:13091]"
"75","ENSG00000155511","Male_Heart",1.81259684,"Male_Placenta",0.03736492,48.5106575900604,"GRIA1","chr5","protein_coding","glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571]"
"76","ENSG00000182132","Male_Heart",1.1195223,"Male_Placenta",0.3160752,3.54194919436894,"KCNIP1","chr5","protein_coding","potassium voltage-gated channel interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:15521]"
"77","ENSG00000137285","Male_Heart",15.993009,"Male_Placenta",1.110347,14.4036134649799,"TUBB2B","chr6","protein_coding","tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829]"
"78","ENSG00000204444","Male_Heart",1.52224999,"Male_Placenta",0.07627511,19.9573621067213,"APOM","chr6","protein_coding","apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]"
"79","ENSG00000137166","Male_Heart",45.46212,"Male_Placenta",6.522214,6.97035086551898,"FOXP4","chr6","protein_coding","forkhead box P4 [Source:HGNC Symbol;Acc:HGNC:20842]"
"80","ENSG00000112559","Male_Heart",34.148541,"Male_Placenta",7.134731,4.78624085477084,"MDFI","chr6","protein_coding","MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]"
"81","ENSG00000135314","Male_Heart",3.6364842,"Male_Placenta",0.3863524,9.41235048624002,"KHDC1","chr6","protein_coding","KH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21366]"
"82","ENSG00000112182","Male_Heart",21.251331,"Male_Placenta",6.649833,3.19576912683371,"BACH2","chr6","protein_coding","BTB domain and CNC homolog 2 [Source:HGNC Symbol;Acc:HGNC:14078]"
"83","ENSG00000135333","Male_Heart",39.235069,"Male_Placenta",1.401122,28.0026071962327,"EPHA7","chr6","protein_coding","EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]"
"84","ENSG00000091844","Male_Heart",1.6809789,"Male_Placenta",0.4687716,3.58592308066444,"RGS17","chr6","protein_coding","regulator of G protein signaling 17 [Source:HGNC Symbol;Acc:HGNC:14088]"
"85","ENSG00000153303","Male_Heart",1.63191928,"Male_Placenta",0.06287186,25.9562748740056,"FRMD1","chr6","protein_coding","FERM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21240]"
"86","ENSG00000186340","Male_Heart",124.944567,"Male_Placenta",1.385516,90.1790863476135,"THBS2","chr6","protein_coding","thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]"
"87","ENSG00000153956","Male_Heart",34.89867,"Male_Placenta",10.17451,3.43000989728252,"CACNA2D1","chr7","protein_coding","calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]"
"88","ENSG00000153993","Male_Heart",11.60587,"Male_Placenta",1.94269,5.97412350915483,"SEMA3D","chr7","protein_coding","semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]"
"89","ENSG00000008277","Male_Heart",10.675271,"Male_Placenta",1.411803,7.56144518746596,"ADAM22","chr7","protein_coding","ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]"
"90","ENSG00000106236","Male_Heart",2.23176821,"Male_Placenta",0.02150179,103.794531059972,"NPTX2","chr7","protein_coding","neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]"
"91","ENSG00000166448","Male_Heart",1.4300044,"Male_Placenta",0.1012254,14.126932568308,"TMEM130","chr7","protein_coding","transmembrane protein 130 [Source:HGNC Symbol;Acc:HGNC:25429]"
"92","ENSG00000106278","Male_Heart",15.524113,"Male_Placenta",0.919774,16.878182031673,"PTPRZ1","chr7","protein_coding","protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]"
"93","ENSG00000224940","Male_Heart",3.38839344,"Male_Placenta",0.03850516,87.9984251461363,"PRRT4","chr7","protein_coding","proline rich transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:37280]"
"94","ENSG00000159784","Male_Heart",4.7343692,"Male_Placenta",0.1796553,26.352516179595,"FAM131B","chr7","protein_coding","family with sequence similarity 131 member B [Source:HGNC Symbol;Acc:HGNC:22202]"
"95","ENSG00000240694","Male_Heart",5.0321978,"Male_Placenta",0.7995734,6.29360331396717,"PNMA2","chr8","protein_coding","PNMA family member 2 [Source:HGNC Symbol;Acc:HGNC:9159]"
"96","ENSG00000172733","Male_Heart",3.0296091,"Male_Placenta",0.4635571,6.53556832588693,"PURG","chr8","protein_coding","purine rich element binding protein G [Source:HGNC Symbol;Acc:HGNC:17930]"
"97","ENSG00000172817","Male_Heart",1.4199379,"Male_Placenta",0.2210427,6.42381720816838,"CYP7B1","chr8","protein_coding","cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]"
"98","ENSG00000137571","Male_Heart",1.8864386,"Male_Placenta",0.1631422,11.5631553332001,"SLCO5A1","chr8","protein_coding","solute carrier organic anion transporter family member 5A1 [Source:HGNC Symbol;Acc:HGNC:19046]"
"99","ENSG00000121005","Male_Heart",18.71586,"Male_Placenta",2.662801,7.02863638702254,"CRISPLD1","chr8","protein_coding","cysteine rich secretory protein LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18206]"
"100","ENSG00000180543","Male_Heart",35.23032,"Male_Placenta",8.08046,4.35993990441138,"TSPYL5","chr8","protein_coding","TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]"
"101","ENSG00000156787","Male_Heart",13.589307,"Male_Placenta",4.292683,3.16569078126663,"TBC1D31","chr8","protein_coding","TBC1 domain family member 31 [Source:HGNC Symbol;Acc:HGNC:30888]"
"102","ENSG00000165269","Male_Heart",2.3287943,"Male_Placenta",0.5962139,3.90597116236304,"AQP7","chr9","protein_coding","aquaporin 7 [Source:HGNC Symbol;Acc:HGNC:640]"
"103","ENSG00000137077","Male_Heart",23.07450372,"Male_Placenta",0.03280868,703.304848594945,"CCL21","chr9","protein_coding","C-C motif chemokine ligand 21 [Source:HGNC Symbol;Acc:HGNC:10620]"
"104","ENSG00000137124","Male_Heart",20.356876,"Male_Placenta",4.215128,4.82947991140483,"ALDH1B1","chr9","protein_coding","aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]"
"105","ENSG00000148053","Male_Heart",18.833642,"Male_Placenta",2.888336,6.52058555514317,"NTRK2","chr9","protein_coding","neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]"
"106","ENSG00000127083","Male_Heart",1.4529941,"Male_Placenta",0.4757624,3.05403306356282,"OMD","chr9","protein_coding","osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]"
"107","ENSG00000165244","Male_Heart",12.835362,"Male_Placenta",2.730259,4.701151795489,"ZNF367","chr9","protein_coding","zinc finger protein 367 [Source:HGNC Symbol;Acc:HGNC:18320]"
"108","ENSG00000165185","Male_Heart",14.743383,"Male_Placenta",4.290847,3.43600762273742,"KIAA1958","chr9","protein_coding","KIAA1958 [Source:HGNC Symbol;Acc:HGNC:23427]"
"109","ENSG00000106976","Male_Heart",43.57553,"Male_Placenta",10.3031,4.22936106608691,"DNM1","chr9","protein_coding","dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]"
"110","ENSG00000167157","Male_Heart",3.0663913,"Male_Placenta",0.5660593,5.41708492378802,"PRRX2","chr9","protein_coding","paired related homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21338]"
"111","ENSG00000148357","Male_Heart",11.189622,"Male_Placenta",3.300746,3.39002819362653,"HMCN2","chr9","protein_coding","hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]"
"112","ENSG00000177283","Male_Heart",48.284476,"Male_Placenta",1.047804,46.0815915953747,"FZD8","chr10","protein_coding","frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]"
"113","ENSG00000150275","Male_Heart",1.52706083,"Male_Placenta",0.03534629,43.2028603284814,"PCDH15","chr10","protein_coding","protocadherin related 15 [Source:HGNC Symbol;Acc:HGNC:14674]"
"114","ENSG00000148541","Male_Heart",16.772071,"Male_Placenta",5.105261,3.2852524092304,"FAM13C","chr10","protein_coding","family with sequence similarity 13 member C [Source:HGNC Symbol;Acc:HGNC:19371]"
"115","ENSG00000122877","Male_Heart",2.301757,"Male_Placenta",0.387928,5.93346445732198,"EGR2","chr10","protein_coding","early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]"
"116","ENSG00000198739","Male_Heart",2.8164764,"Male_Placenta",0.02216156,127.088363815544,"LRRTM3","chr10","protein_coding","leucine rich repeat transmembrane neuronal 3 [Source:HGNC Symbol;Acc:HGNC:19410]"
"117","ENSG00000138336","Male_Heart",31.823925,"Male_Placenta",8.656303,3.67638759872431,"TET1","chr10","protein_coding","tet methylcytosine dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:29484]"
"118","ENSG00000165655","Male_Heart",13.121022,"Male_Placenta",1.492351,8.79218226811253,"ZNF503","chr10","protein_coding","zinc finger protein 503 [Source:HGNC Symbol;Acc:HGNC:23589]"
"119","ENSG00000184719","Male_Heart",4.529341,"Male_Placenta",1.403685,3.226750303665,"RNLS","chr10","protein_coding","renalase, FAD dependent amine oxidase [Source:HGNC Symbol;Acc:HGNC:25641]"
"120","ENSG00000152782","Male_Heart",15.150644,"Male_Placenta",4.357664,3.47678113778391,"PANK1","chr10","protein_coding","pantothenate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8598]"
"121","ENSG00000155254","Male_Heart",55.55161,"Male_Placenta",13.64861,4.0701294857132,"MARVELD1","chr10","protein_coding","MARVEL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28674]"
"122","ENSG00000107821","Male_Heart",12.003275,"Male_Placenta",1.931253,6.21527837108861,"KAZALD1","chr10","protein_coding","Kazal type serine peptidase inhibitor domain 1 [Source:HGNC Symbol;Acc:HGNC:25460]"
"123","ENSG00000156395","Male_Heart",4.246830041,"Male_Placenta",0.005819493,729.759455162159,"SORCS3","chr10","protein_coding","sortilin related VPS10 domain containing receptor 3 [Source:HGNC Symbol;Acc:HGNC:16699]"
"124","ENSG00000182022","Male_Heart",26.751985,"Male_Placenta",8.249783,3.24275014264012,"CHST15","chr10","protein_coding","carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]"
"125","ENSG00000170430","Male_Heart",22.963092,"Male_Placenta",6.018875,3.81518007933376,"MGMT","chr10","protein_coding","O-6-methylguanine-DNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:7059]"
"126","ENSG00000148832","Male_Heart",2.9730866,"Male_Placenta",0.9048668,3.28566215491606,"PAOX","chr10","protein_coding","polyamine oxidase [Source:HGNC Symbol;Acc:HGNC:20837]"
"127","ENSG00000182272","Male_Heart",23.96008457,"Male_Placenta",0.07409481,323.370618940787,"B4GALNT4","chr11","protein_coding","beta-1,4-N-acetyl-galactosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:26315]"
"128","ENSG00000070031","Male_Heart",1.72547888,"Male_Placenta",0.05631115,30.6418689726635,"SCT","chr11","protein_coding","secretin [Source:HGNC Symbol;Acc:HGNC:10607]"
"129","ENSG00000149050","Male_Heart",2.8024945,"Male_Placenta",0.5685246,4.9294164227898,"ZNF214","chr11","protein_coding","zinc finger protein 214 [Source:HGNC Symbol;Acc:HGNC:13006]"
"130","ENSG00000006611","Male_Heart",12.329278921,"Male_Placenta",0.005819493,2118.6173642618,"USH1C","chr11","protein_coding","USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]"
"131","ENSG00000110786","Male_Heart",1.65998209,"Male_Placenta",0.05576683,29.7664774920862,"PTPN5","chr11","protein_coding","protein tyrosine phosphatase non-receptor type 5 [Source:HGNC Symbol;Acc:HGNC:9657]"
"132","ENSG00000179241","Male_Heart",19.062065,"Male_Placenta",1.932338,9.86476744751695,"LDLRAD3","chr11","protein_coding","low density lipoprotein receptor class A domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27046]"
