"","ensembl","Tissue.x","nCPMs","Tissue.y","nCPMs_4","nCPM_ratio","hgnc_symbol","seqnames","gene_type","description"
"23","ENSG00000118733","Heart",1.047260745,"Placenta",0.005082336,206.058935300618,"OLFM3","chr1","protein_coding","olfactomedin 3 [Source:HGNC Symbol;Acc:HGNC:17990]"
"24","ENSG00000177301","Heart",1.69085156,"Placenta",0.06656512,25.401464911353,"KCNA2","chr1","protein_coding","potassium voltage-gated channel subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:6220]"
"25","ENSG00000159164","Heart",10.344947,"Placenta",1.058302,9.77504247369843,"SV2A","chr1","protein_coding","synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566]"
"26","ENSG00000197747","Heart",120.28564,"Placenta",30.28239,3.97213165803624,"S100A10","chr1","protein_coding","S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]"
"27","ENSG00000163191","Heart",283.87432,"Placenta",58.08957,4.88683803305826,"S100A11","chr1","protein_coding","S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]"
"28","ENSG00000163462","Heart",2.5379187,"Placenta",0.4223554,6.00896472496859,"TRIM46","chr1","protein_coding","tripartite motif containing 46 [Source:HGNC Symbol;Acc:HGNC:19019]"
"29","ENSG00000188859","Heart",2.18292763,"Placenta",0.06534366,33.4068772701131,"FAM78B","chr1","protein_coding","family with sequence similarity 78 member B [Source:HGNC Symbol;Acc:HGNC:13495]"
"30","ENSG00000203724","Heart",2.3586863,"Placenta",0.6883284,3.42668746487868,"C1orf53","chr1","protein_coding","chromosome 1 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:30003]"
"31","ENSG00000162873","Heart",1.54369769,"Placenta",0.01529138,100.952150165649,"KLHDC8A","chr1","protein_coding","kelch domain containing 8A [Source:HGNC Symbol;Acc:HGNC:25573]"
"32","ENSG00000143494","Heart",12.947421,"Placenta",1.740469,7.43904143078676,"VASH2","chr1","protein_coding","vasohibin 2 [Source:HGNC Symbol;Acc:HGNC:25723]"
"33","ENSG00000176887","Heart",36.8175854,"Placenta",0.03673675,1002.20039606116,"SOX11","chr2","protein_coding","SRY-box transcription factor 11 [Source:HGNC Symbol;Acc:HGNC:11191]"
"34","ENSG00000205795","Heart",1.71794442,"Placenta",0.05498617,31.2432093379117,"CYS1","chr2","protein_coding","cystin 1 [Source:HGNC Symbol;Acc:HGNC:18525]"
"35","ENSG00000143867","Heart",21.985238,"Placenta",3.596772,6.11249142286472,"OSR1","chr2","protein_coding","odd-skipped related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]"
"36","ENSG00000138080","Heart",180.1042,"Placenta",20.16643,8.93089158566985,"EMILIN1","chr2","protein_coding","elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880]"
"37","ENSG00000152147","Heart",21.753158,"Placenta",3.964274,5.4872993138214,"GEMIN6","chr2","protein_coding","gem nuclear organelle associated protein 6 [Source:HGNC Symbol;Acc:HGNC:20044]"
"38","ENSG00000179915","Heart",13.30040447,"Placenta",0.05140974,258.713708141687,"NRXN1","chr2","protein_coding","neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]"
"39","ENSG00000143942","Heart",2.9874051,"Placenta",0.5694663,5.24597346673543,"CHAC2","chr2","protein_coding","ChaC glutathione specific gamma-glutamylcyclotransferase 2 [Source:HGNC Symbol;Acc:HGNC:32363]"
"40","ENSG00000163001","Heart",33.021401,"Placenta",7.511728,4.39597932725999,"CFAP36","chr2","protein_coding","cilia and flagella associated protein 36 [Source:HGNC Symbol;Acc:HGNC:30540]"
"41","ENSG00000115392","Heart",40.73163,"Placenta",12.55805,3.24346773583478,"FANCL","chr2","protein_coding","FA complementation group L [Source:HGNC Symbol;Acc:HGNC:20748]"
"42","ENSG00000170264","Heart",13.509038,"Placenta",4.469935,3.02220009910659,"FAM161A","chr2","protein_coding","FAM161 centrosomal protein A [Source:HGNC Symbol;Acc:HGNC:25808]"
"43","ENSG00000163170","Heart",35.918198,"Placenta",1.204609,29.8173083548272,"BOLA3","chr2","protein_coding","bolA family member 3 [Source:HGNC Symbol;Acc:HGNC:24415]"
"44","ENSG00000071082","Heart",1146.3432,"Placenta",167.7867,6.83214581370275,"RPL31","chr2","protein_coding","ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]"
"45","ENSG00000119147","Heart",21.9561941,"Placenta",0.6008247,36.5434278916962,"ECRG4","chr2","protein_coding","ECRG4 augurin precursor [Source:HGNC Symbol;Acc:HGNC:24642]"
"46","ENSG00000144057","Heart",17.355058,"Placenta",2.504536,6.92945040518483,"ST6GAL2","chr2","protein_coding","ST6 beta-galactoside alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10861]"
"47","ENSG00000144061","Heart",15.24484,"Placenta",2.6679,5.71417219535965,"NPHP1","chr2","protein_coding","nephrocystin 1 [Source:HGNC Symbol;Acc:HGNC:7905]"
"48","ENSG00000074047","Heart",12.999031,"Placenta",1.709717,7.6030307939852,"GLI2","chr2","protein_coding","GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]"
"49","ENSG00000144278","Heart",1.627149,"Placenta",0.1547191,10.5167946297516,"GALNT13","chr2","protein_coding","polypeptide N-acetylgalactosaminyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:23242]"
"50","ENSG00000162989","Heart",3.57924514,"Placenta",0.05396299,66.3277765001531,"KCNJ3","chr2","protein_coding","potassium inwardly rectifying channel subfamily J member 3 [Source:HGNC Symbol;Acc:HGNC:6264]"
"51","ENSG00000178662","Heart",21.622955,"Placenta",2.238643,9.65895634096191,"CSRNP3","chr2","protein_coding","cysteine and serine rich nuclear protein 3 [Source:HGNC Symbol;Acc:HGNC:30729]"
"52","ENSG00000154479","Heart",1.1119659,"Placenta",0.2134528,5.20942287943751,"CCDC173","chr2","protein_coding","coiled-coil domain containing 173 [Source:HGNC Symbol;Acc:HGNC:25064]"
"53","ENSG00000172878","Heart",12.24578,"Placenta",3.81087,3.21338172123426,"METAP1D","chr2","protein_coding","methionyl aminopeptidase type 1D, mitochondrial [Source:HGNC Symbol;Acc:HGNC:32583]"
"54","ENSG00000115252","Heart",13.126092,"Placenta",1.393017,9.42277947792453,"PDE1A","chr2","protein_coding","phosphodiesterase 1A [Source:HGNC Symbol;Acc:HGNC:8774]"
"55","ENSG00000078018","Heart",13.14905,"Placenta",2.30699,5.69965626205575,"MAP2","chr2","protein_coding","microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]"
"56","ENSG00000168530","Heart",0.3805309,"Placenta",0.01212669,31.3796180161281,"MYL1","chr2","protein_coding","myosin light chain 1 [Source:HGNC Symbol;Acc:HGNC:7582]"
"57","ENSG00000138376","Heart",49.986,"Placenta",12.0299,4.15514675932468,"BARD1","chr2","protein_coding","BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]"
"58","ENSG00000066248","Heart",1.71671286,"Placenta",0.04849772,35.3978055050835,"NGEF","chr2","protein_coding","neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]"
"59","ENSG00000144488","Heart",2.7663607,"Placenta",0.2553174,10.8349869613274,"ESPNL","chr2","protein_coding","espin like [Source:HGNC Symbol;Acc:HGNC:27937]"
"60","ENSG00000134115","Heart",5.453586,"Placenta",1.790097,3.04653099804089,"CNTN6","chr3","protein_coding","contactin 6 [Source:HGNC Symbol;Acc:HGNC:2176]"
"61","ENSG00000163704","Heart",2.6349878,"Placenta",0.8206757,3.21075401647691,"PRRT3","chr3","protein_coding","proline rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:26591]"
"62","ENSG00000151789","Heart",15.7339045,"Placenta",0.2527084,62.2611060811592,"ZNF385D","chr3","protein_coding","zinc finger protein 385D [Source:HGNC Symbol;Acc:HGNC:26191]"
"63","ENSG00000163808","Heart",12.164235,"Placenta",3.314547,3.66995399371317,"KIF15","chr3","protein_coding","kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]"
"64","ENSG00000114902","Heart",117.31409,"Placenta",27.34759,4.28974143608267,"SPCS1","chr3","protein_coding","signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]"
"65","ENSG00000163666","Heart",1.1108277,"Placenta",0.3554131,3.12545513938569,"HESX1","chr3","protein_coding","HESX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4877]"
"66","ENSG00000172986","Heart",11.667565,"Placenta",3.546804,3.28959959445179,"GXYLT2","chr3","protein_coding","glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33383]"
"67","ENSG00000121440","Heart",83.18825,"Placenta",24.03531,3.46108496208287,"PDZRN3","chr3","protein_coding","PDZ domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:17704]"
"68","ENSG00000185008","Heart",32.134918,"Placenta",7.575011,4.24222723900995,"ROBO2","chr3","protein_coding","roundabout guidance receptor 2 [Source:HGNC Symbol;Acc:HGNC:10250]"
"69","ENSG00000184220","Heart",30.2882,"Placenta",7.317134,4.13935292151271,"CMSS1","chr3","protein_coding","cms1 ribosomal small subunit homolog [Source:HGNC Symbol;Acc:HGNC:28666]"
"70","ENSG00000114391","Heart",1599.4881,"Placenta",123.8966,12.9098627403819,"RPL24","chr3","protein_coding","ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]"
"71","ENSG00000091986","Heart",148.68379,"Placenta",22.81099,6.51807703216739,"CCDC80","chr3","protein_coding","coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]"
"72","ENSG00000114107","Heart",33.715738,"Placenta",4.933403,6.83417470658691,"CEP70","chr3","protein_coding","centrosomal protein 70 [Source:HGNC Symbol;Acc:HGNC:29972]"
"73","ENSG00000152580","Heart",12.883887,"Placenta",3.315976,3.8853981452218,"IGSF10","chr3","protein_coding","immunoglobulin superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:26384]"
"74","ENSG00000114200","Heart",21.07301467,"Placenta",0.02363276,891.686568559914,"BCHE","chr3","protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"75","ENSG00000171757","Heart",5.472368,"Placenta",1.02529,5.33738552019429,"LRRC34","chr3","protein_coding","leucine rich repeat containing 34 [Source:HGNC Symbol;Acc:HGNC:28408]"
"76","ENSG00000182580","Heart",41.74586,"Placenta",12.14066,3.43851652216601,"EPHB3","chr3","protein_coding","EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]"
"77","ENSG00000145220","Heart",24.594461,"Placenta",7.146251,3.44158930325845,"LYAR","chr4","protein_coding","Ly1 antibody reactive [Source:HGNC Symbol;Acc:HGNC:26021]"
"78","ENSG00000250317","Heart",25.204622,"Placenta",5.940405,4.24291306737504,"SMIM20","chr4","protein_coding","small integral membrane protein 20 [Source:HGNC Symbol;Acc:HGNC:37260]"
"79","ENSG00000163281","Heart",22.848388,"Placenta",5.025262,4.54670582349736,"GNPDA2","chr4","protein_coding","glucosamine-6-phosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:21526]"
"80","ENSG00000188993","Heart",1.3800592,"Placenta",0.4562796,3.02459106214698,"LRRC66","chr4","protein_coding","leucine rich repeat containing 66 [Source:HGNC Symbol;Acc:HGNC:34299]"
"81","ENSG00000109193","Heart",12.7099721,"Placenta",0.3832178,33.1664450346513,"SULT1E1","chr4","protein_coding","sulfotransferase family 1E member 1 [Source:HGNC Symbol;Acc:HGNC:11377]"
"82","ENSG00000163322","Heart",20.833079,"Placenta",6.906656,3.0163771005824,"ABRAXAS1","chr4","protein_coding","abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]"
"83","ENSG00000152208","Heart",1.9879608,"Placenta",0.2281836,8.71211077395571,"GRID2","chr4","protein_coding","glutamate ionotropic receptor delta type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4576]"
"84","ENSG00000170522","Heart",19.047856,"Placenta",3.476166,5.47955880127704,"ELOVL6","chr4","protein_coding","ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]"
"85","ENSG00000174599","Heart",2.5480497,"Placenta",0.5223757,4.87781054899759,"TRAM1L1","chr4","protein_coding","translocation associated membrane protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28371]"
"86","ENSG00000164066","Heart",39.78793,"Placenta",13.06126,3.04625510861892,"INTU","chr4","protein_coding","inturned planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:29239]"
"87","ENSG00000170365","Heart",31.693267,"Placenta",7.024381,4.51189464238913,"SMAD1","chr4","protein_coding","SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]"
"88","ENSG00000171557","Heart",2.17139562,"Placenta",0.05182802,41.896171607559,"FGG","chr4","protein_coding","fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]"
"89","ENSG00000121207","Heart",2.31321659,"Placenta",0.01610901,143.597687877778,"LRAT","chr4","protein_coding","lecithin retinol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6685]"
"90","ENSG00000109576","Heart",10.680468,"Placenta",1.936357,5.51575355164363,"AADAT","chr4","protein_coding","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]"
"91","ENSG00000174473","Heart",1.38355161,"Placenta",0.00966258,143.186561974131,"GALNTL6","chr4","protein_coding","polypeptide N-acetylgalactosaminyltransferase like 6 [Source:HGNC Symbol;Acc:HGNC:33844]"
"92","ENSG00000150625","Heart",2.9809027,"Placenta",0.1957042,15.2316746395836,"GPM6A","chr4","protein_coding","glycoprotein M6A [Source:HGNC Symbol;Acc:HGNC:4460]"
"93","ENSG00000145592","Heart",1026.7743,"Placenta",203.7246,5.04001136828837,"RPL37","chr5","protein_coding","ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]"
"94","ENSG00000164346","Heart",122.38202,"Placenta",40.04429,3.05616655957691,"NSA2","chr5","protein_coding","NSA2 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:30728]"
"95","ENSG00000132840","Heart",1.46862425,"Placenta",0.09686252,15.161945507922,"BHMT2","chr5","protein_coding","betaine--homocysteine S-methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:1048]"
"96","ENSG00000186468","Heart",1073.3756,"Placenta",208.8225,5.14013384573023,"RPS23","chr5","protein_coding","ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]"
"97","ENSG00000168916","Heart",46.214579,"Placenta",9.078973,5.09028708423299,"ZNF608","chr5","protein_coding","zinc finger protein 608 [Source:HGNC Symbol;Acc:HGNC:29238]"
"98","ENSG00000164405","Heart",394.35271,"Placenta",20.18703,19.5349543741699,"UQCRQ","chr5","protein_coding","ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]"
"99","ENSG00000146013","Heart",2.80012712,"Placenta",0.02332311,120.058050577303,"GFRA3","chr5","protein_coding","GDNF family receptor alpha 3 [Source:HGNC Symbol;Acc:HGNC:4245]"
"100","ENSG00000112852","Heart",2.1664401,"Placenta",0.6212405,3.48728085177962,"PCDHB2","chr5","protein_coding","protocadherin beta 2 [Source:HGNC Symbol;Acc:HGNC:8687]"
"101","ENSG00000081818","Heart",1.276825,"Placenta",0.1776192,7.18855281411019,"PCDHB4","chr5","protein_coding","protocadherin beta 4 [Source:HGNC Symbol;Acc:HGNC:8689]"
"102","ENSG00000113212","Heart",2.435452,"Placenta",0.4946682,4.92340522394607,"PCDHB7","chr5","protein_coding","protocadherin beta 7 [Source:HGNC Symbol;Acc:HGNC:8692]"
"103","ENSG00000183775","Heart",1.4706268,"Placenta",0.1662261,8.84714734930315,"KCTD16","chr5","protein_coding","potassium channel tetramerization domain containing 16 [Source:HGNC Symbol;Acc:HGNC:29244]"
"104","ENSG00000186314","Heart",11.73202,"Placenta",1.303814,8.99823134281424,"PRELID2","chr5","protein_coding","PRELI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28306]"
"105","ENSG00000169302","Heart",1.4531772,"Placenta",0.4532474,3.20614569438236,"STK32A","chr5","protein_coding","serine/threonine kinase 32A [Source:HGNC Symbol;Acc:HGNC:28317]"
"106","ENSG00000145908","Heart",18.915503,"Placenta",3.219919,5.87452758904805,"ZNF300","chr5","protein_coding","zinc finger protein 300 [Source:HGNC Symbol;Acc:HGNC:13091]"
"107","ENSG00000145861","Heart",11.0188616,"Placenta",0.8561563,12.8701518636258,"C1QTNF2","chr5","protein_coding","C1q and TNF related 2 [Source:HGNC Symbol;Acc:HGNC:14325]"
"108","ENSG00000170584","Heart",45.59606,"Placenta",11.83587,3.85236235274636,"NUDCD2","chr5","protein_coding","NudC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30535]"
"109","ENSG00000037241","Heart",43.15656,"Placenta",7.15708,6.02991163994255,"RPL26L1","chr5","protein_coding","ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]"
"110","ENSG00000137285","Heart",15.347464,"Placenta",1.590373,9.65022922295587,"TUBB2B","chr6","protein_coding","tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829]"
"111","ENSG00000124787","Heart",10.110633,"Placenta",2.395479,4.22071452097889,"RPP40","chr6","protein_coding","ribonuclease P/MRP subunit p40 [Source:HGNC Symbol;Acc:HGNC:20992]"
"112","ENSG00000197238","Heart",4.9591055,"Placenta",0.8609249,5.76020684266421,"HIST1H4J","chr6","protein_coding","H4 clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4785]"
"113","ENSG00000204444","Heart",1.53673988,"Placenta",0.08880893,17.3038891471837,"APOM","chr6","protein_coding","apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]"
"114","ENSG00000135333","Heart",50.333694,"Placenta",1.135398,44.3313217039311,"EPHA7","chr6","protein_coding","EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]"
"115","ENSG00000112290","Heart",12.56688,"Placenta",2.07563,6.05448948030237,"WASF1","chr6","protein_coding","WASP family member 1 [Source:HGNC Symbol;Acc:HGNC:12732]"
"116","ENSG00000197498","Heart",47.82569,"Placenta",13.03917,3.66784772343638,"RPF2","chr6","protein_coding","ribosome production factor 2 homolog [Source:HGNC Symbol;Acc:HGNC:20870]"
"117","ENSG00000203778","Heart",26.264978,"Placenta",3.746614,7.01032398854005,"FAM229B","chr6","protein_coding","family with sequence similarity 229 member B [Source:HGNC Symbol;Acc:HGNC:33858]"
"118","ENSG00000188580","Heart",1.3544041,"Placenta",0.2705534,5.00605093116553,"NKAIN2","chr6","protein_coding","sodium/potassium transporting ATPase interacting 2 [Source:HGNC Symbol;Acc:HGNC:16443]"
"119","ENSG00000029639","Heart",16.91018,"Placenta",5.601921,3.01863949884334,"TFB1M","chr6","protein_coding","transcription factor B1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17037]"
"120","ENSG00000112110","Heart",60.73003,"Placenta",18.2314,3.33106782803295,"MRPL18","chr6","protein_coding","mitochondrial ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:14477]"
"121","ENSG00000153303","Heart",1.07290597,"Placenta",0.07150926,15.0037347610645,"FRMD1","chr6","protein_coding","FERM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21240]"
"122","ENSG00000186340","Heart",113.113842,"Placenta",2.754776,41.0609944329412,"THBS2","chr6","protein_coding","thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]"
"123","ENSG00000008018","Heart",386.7215,"Placenta",122.3302,3.16129214208756,"PSMB1","chr6","protein_coding","proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]"
"124","ENSG00000106268","Heart",23.71782,"Placenta",2.398024,9.89056823451308,"NUDT1","chr7","protein_coding","nudix hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:8048]"
"125","ENSG00000187391","Heart",21.204363,"Placenta",5.932453,3.57429936655208,"MAGI2","chr7","protein_coding","membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]"
"126","ENSG00000153993","Heart",25.42368,"Placenta",1.766363,14.3932362713666,"SEMA3D","chr7","protein_coding","semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]"
"127","ENSG00000008277","Heart",13.871468,"Placenta",1.689008,8.21278999270578,"ADAM22","chr7","protein_coding","ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]"
"128","ENSG00000164692","Heart",2918.7303,"Placenta",679.0811,4.29805850877016,"COL1A2","chr7","protein_coding","collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]"
"129","ENSG00000106236","Heart",2.1617683,"Placenta",0.02909528,74.2996217943254,"NPTX2","chr7","protein_coding","neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]"
"130","ENSG00000173114","Heart",26.18519,"Placenta",2.67136,9.80219438787734,"LRRN3","chr7","protein_coding","leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200]"
"131","ENSG00000106278","Heart",18.0655982,"Placenta",0.8786564,20.5604809798233,"PTPRZ1","chr7","protein_coding","protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]"
"132","ENSG00000128602","Heart",66.82141,"Placenta",2.904211,23.0084556528434,"SMO","chr7","protein_coding","smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]"
"133","ENSG00000159784","Heart",3.6360468,"Placenta",0.2136223,17.020914015063,"FAM131B","chr7","protein_coding","family with sequence similarity 131 member B [Source:HGNC Symbol;Acc:HGNC:22202]"
"134","ENSG00000120907","Heart",1.35678041,"Placenta",0.07516461,18.0507875980465,"ADRA1A","chr8","protein_coding","adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]"
"135","ENSG00000214050","Heart",2.8614912,"Placenta",0.2074243,13.7953518464327,"FBXO16","chr8","protein_coding","F-box protein 16 [Source:HGNC Symbol;Acc:HGNC:13618]"
"136","ENSG00000172733","Heart",3.527807,"Placenta",0.494118,7.13960430504454,"PURG","chr8","protein_coding","purine rich element binding protein G [Source:HGNC Symbol;Acc:HGNC:17930]"
"137","ENSG00000172817","Heart",2.8953727,"Placenta",0.3430958,8.43896282029684,"CYP7B1","chr8","protein_coding","cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]"
"138","ENSG00000137571","Heart",3.049649,"Placenta",0.114114,26.7245824351088,"SLCO5A1","chr8","protein_coding","solute carrier organic anion transporter family member 5A1 [Source:HGNC Symbol;Acc:HGNC:19046]"
"139","ENSG00000104313","Heart",10.5999393,"Placenta",0.2255223,47.001734639989,"EYA1","chr8","protein_coding","EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]"
"140","ENSG00000121005","Heart",28.075012,"Placenta",4.397102,6.38488986609817,"CRISPLD1","chr8","protein_coding","cysteine rich secretory protein LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18206]"
